date,sku_id,units_sold,revenue,unit_price,promo_flag,product_name,category,subcategory,launch_date,unit_cost,list_price,gross_margin_per_unit,year,month,quarter,week,day_of_week,is_weekend,season,holiday,is_holiday,promo_event,baseline_pred,units_lag_1,units_lag_7,units_lag_14,units_lag_28,units_roll_mean_7,units_roll_std_7,units_roll_mean_28,units_roll_std_28,is_promo,is_holiday_flag,is_weekend_flag,week_of_year
2024-01-01,SKU001,5,18320.25,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Monday,0,Winter,No Holiday,0,No Promotion,,,,,,,,,,0,0,0,1
2024-01-02,SKU001,13,47632.65,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Tuesday,0,Winter,No Holiday,0,No Promotion,,5.0,,,,5.0,,5.0,,0,0,0,1
2024-01-03,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Wednesday,0,Winter,No Holiday,0,No Promotion,,13.0,,,,9.0,5.656854249492381,9.0,5.656854249492381,0,0,0,1
2024-01-04,SKU001,23,84273.15,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Thursday,0,Winter,No Holiday,0,No Promotion,,12.0,,,,10.0,4.358898943540674,10.0,4.358898943540674,0,0,0,1
2024-01-05,SKU001,16,58624.8,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Friday,0,Winter,No Holiday,0,No Promotion,,23.0,,,,13.25,7.41057802513857,13.25,7.41057802513857,0,0,0,1
2024-01-06,SKU001,18,65952.9,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Saturday,1,Winter,No Holiday,0,No Promotion,,16.0,,,,13.8,6.534523701081817,13.8,6.534523701081817,0,0,1,1
2024-01-07,SKU001,19,69616.95,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,1,Sunday,1,Winter,No Holiday,0,No Promotion,,18.0,,,,14.5,6.0909769331364245,14.5,6.0909769331364245,0,0,1,1
2024-01-08,SKU001,12,43968.6,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,2,Monday,0,Winter,No Holiday,0,No Promotion,,19.0,5.0,,,15.142857142857142,5.814595756329395,15.142857142857142,5.814595756329395,0,0,0,2
2024-01-09,SKU001,10,36640.5,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,2,Tuesday,0,Winter,No Holiday,0,No Promotion,,12.0,13.0,,,16.142857142857142,4.140393356054125,14.75,5.496752287877426,0,0,0,2
2024-01-10,SKU001,11,40304.55,3664.05,0,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,2024,1,Q1,2,Wednesday,0,Winter,No Holiday,0,No Promotion,,10.0,12.0,,,15.714285714285714,4.644505202002531,14.222222222222221,5.380004130522991,0,0,0,2
